title,issn,publisher,subjectAreas,licenseAgreement,oaModel
Acta Radiologica Open,2058-4601,Sage,,40%,Gold
Advances in Mechanical Engineering,1687-8140,Sage,,40%,Gold
Advances in Methods and Practices in Psychological Science,2515-2467,Sage,,40%,Gold
Advances in Rehabilitation Science and Practice,2753-6351,Sage,,40%,Gold
AERA Open,2332-8584,Sage,,40%,Gold
Africa Spectrum,1868-6869,Sage,,None,Gold
"Air, Soil and Water Research",1178-6221,Sage,,40%,Gold
American Journal of Alzheimer's Disease & Other Dementias,1938-2731,Sage,,40%,Gold
American Journal of Men's Health,1557-9891,Sage,,40%,Gold
Annals of Neurosciences,0976-3260,Sage,,None,Gold
Antiviral Therapy,2040-2058,Sage,,40%,Gold
Apollo Medicine,2213-3682,Sage,,None,Gold
Applied Spectroscopy Practica,2755-1857,Sage,,40%,Gold
Asian Journal for Mathematics Education,2752-7271,Sage,,None,Gold
Autism and Developmental Language Impairments,2396-9415,Sage,,40%,Gold
Behavioral Science & Policy,2379-4615,Sage,,None,Gold
Big Data & Society,2053-9517,Sage,,40%,Gold
Bioinformatics and Biology Insights,1177-9322,Sage,,40%,Gold
Biomarker Insights,1177-2719,Sage,,40%,Gold
Biomedical Engineering and Computational Biology,1179-5972,Sage,,40%,Gold
Brain and Neuroscience Advances,2398-2128,Sage,,40%,Gold
Brain Science Advances,2096-5958,Sage,,None,Gold
Breast Cancer: Basic and Clinical Research,1178-2234,Sage,,40%,Gold
BRQ Business Research Quarterly,2340-9444,Sage,,None,Gold
Canadian Journal of Kidney Health and Disease,2054-3581,Sage,,40%,Gold
Cancer Control,1073-2748,Sage,,40%,Gold
Cancer Informatics,1176-9351,Sage,,40%,Gold
Cartilage,1947-6043,Sage,,40%,Gold
Cell Transplantation,1555-3892,Sage,,40%,Gold
Cephalalgia,1468-2982,Sage,,40%,Gold
Cephalalgia Reports,2515-8163,Sage,,40%,Gold
Child Neurology Open,2329-048X,Sage,,40%,Gold
Chronic Respiratory Disease,1479-9731,Sage,,40%,Gold
Chronic Stress,2470-5470,Sage,,40%,Gold
Clinical and Applied Thrombosis/Hemostasis,1938-2723,Sage,,40%,Gold
Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders,1179-5441,Sage,,40%,Gold
Clinical Medicine Insights: Cardiology,1179-5468,Sage,,40%,Gold
Clinical Medicine Insights: Case Reports,1179-5476,Sage,,40%,Gold
Clinical Medicine Insights: Endocrinology and Diabetes,1179-5514,Sage,,40%,Gold
Clinical Medicine Insights: Oncology,1179-5549,Sage,,40%,Gold
Clinical Medicine Insights: Pediatrics,1179-5565,Sage,,40%,Gold
Clinical Pathology,2632-010X,Sage,,40%,Gold
Collective Intelligence,2633-9137,Sage,,None,Gold
Communication and the Public,2057-0481,Sage,,None,Gold
Composites and Advanced Materials,0963-6935,Sage,,40%,Gold
Contact,2515-2564,Sage,,40%,Gold
Cultures of Science,2633-3287,Sage,,None,Gold
Diabetes and Vascular Disease Research,1752-8984,Sage,,40%,Gold
Digital Health,2055-2076,Sage,,40%,Gold
Dose-Response,1559-3258,Sage,,40%,Gold
ECNU Review of Education,2632-1742,Sage,,None,Gold
Emerging Economies Cases Journal,2516-6050,Sage,,None,Gold
Emerging Media,2752-3543,Sage,,None,Gold
Energy Exploration & Exploitation,2048-4054,Sage,,40%,Gold
ENT Journal,1942-7522,Sage,,40%,Gold
Environmental Health Insights,1178-6302,Sage,,40%,Gold
Epilepsy Currents,1535-7511,Sage,,None,Gold
European Journal of Inflammation,2058-7392,Sage,,40%,Gold
European View,1865-5831,Sage,,None,Gold
Evolutionary Bioinformatics,1176-9343,Sage,,40%,Gold
Evolutionary Psychology,1474-7049,Sage,,40%,Gold
Foot & Ankle Orthopaedics,2473-0114,Sage,,40%,Gold
Geriatric Orthopaedic Surgery & Rehabilitation,2151-4593,Sage,,40%,Gold
Gerontology and Geriatric Medicine,2333-7214,Sage,,40%,Gold
Global Advances in Health and Medicine,2164-9561,Sage,,40%,Gold
Global Media and China,2059-4364,Sage,,None,Gold
Global Pediatric Health,2333-794X,Sage,,40%,Gold
Global Qualitative Nursing Research,2333-3936,Sage,,40%,Gold
Global Spine Journal,2192-5690,Sage,,40%,Gold
Health Informatics Journal,1741-2811,Sage,,40%,Gold
Health Psychology Open,2055-1029,Sage,,40%,Gold
Health Services Insights,1178-6329,Sage,,40%,Gold
Health Services Research and Managerial Epidemiology,2333-3392,Sage,,40%,Gold
Hong Kong Journal of Occupational Therapy,1876-4398,Sage,,None,Gold
Human and Experimental Toxicology,1477-0903,Sage,,40%,Gold
Implementation Research and Practice,2633-4895,Sage,,40%,Gold
Indian Journal of Clinical Cardiology,2632-4644,Sage,,None,Gold
Indian Journal of Psychological Medicine,0975-1564,Sage,,None,Gold
Indian Journal of Rheumatology,0973-3701,Sage,,None,Gold
Innate Immunity,1753-4267,Sage,,40%,Gold
INQUIRY,1945-7243,Sage,,40%,Gold
Integrative Cancer Therapies,1552-695X,Sage,,40%,Gold
International Journal of Advanced Robotic Systems,1729-8814,Sage,,40%,Gold
"International Journal of Biological Markers, The",1724-6008,Sage,,40%,Gold
International Journal of Chinese Education,2212-5868,Sage,,None,Gold
International Journal of Engineering Business Management,1847-9790,Sage,,40%,Gold
International Journal of Immunopathology and Pharmacology,2058-7384,Sage,,40%,Gold
International Journal of Micro Air Vehicles,1756-8307,Sage,,40%,Gold
International Journal of Qualitative Methods,1609-4069,Sage,,40%,Gold
International Journal of Tryptophan Research,1178-6469,Sage,,40%,Gold
Interpreting & Society: An Interdisciplinary Journal,2752-3810,Sage,,None,Gold
i-Perception,2041-6695,Sage,,40%,Gold
Journal of Algorithms & Computational Technology,1748-3026,Sage,,40%,Gold
Journal of Applied Biomaterials & Functional Materials,2280-8000,Sage,,40%,Gold
Journal of Cardiovascular Pharmacology and Therapeutics,1940-4034,Sage,,40%,Gold
Journal of Central Nervous System Disease,1179-5735,Sage,,40%,Gold
Journal of Chemical Research,2047-6507,Sage,,40%,Gold
Journal of Children's Orthopaedics,1863-2548,Sage,,40%,Gold
Journal of Contemporary Business Studies,TBA,Sage,,None,Gold
Journal of Current Chinese Affairs,1868-4874,Sage,,None,Gold
Journal of Current Oncology,2589-8906,Sage,,None,Gold
Journal of Current Southeast Asian Affairs,1868-4882,Sage,,None,Gold
Journal of Engineered Fibers and Fabrics,1558-9250,Sage,,40%,Gold
Journal of Eurasian Studies,1879-3673,Sage,,None,Gold
Journal of Evidence-Based Integrative Medicine,2515-690X,Sage,,40%,Gold
Journal of Experimental Psychopathology,2043-8087,Sage,,40%,Gold
Journal of Feline Medicine and Surgery,1532-2750,Sage,,40%,Gold
Journal of Feline Medicine and Surgery Open Reports,2055-1169,Sage,,40%,Gold
Journal of Indian Association for Child and Adolescent Mental Health,2754-6349,Sage,,None,Gold
Journal of Indian Orthodontic Society,0974-9098,Sage,,None,Gold
Journal of Industrial Textiles,1530-8057,Sage,,40%,Gold
Journal of International Medical Research,1473-2300,Sage,,40%,Gold
Journal of Investigative Medicine High Impact Case Reports,2324-7096,Sage,,40%,Gold
Journal of Law and Empirical Analysis,2755-323X,Sage,,None,Gold
"Journal of Low Frequency Noise, Vibration & Active Control",2048-4046 ,Sage,,40%,Gold
Journal of Medical Education and Curricular Development,2382-1205,Sage,,40%,Gold
Journal of Multimorbidity and Comorbidity,2235-042X,Sage,,40%,Gold
Journal of Orthopaedic Surgery,2309-4990,Sage,,40%,Gold
"Journal of Orthopaedics, Trauma and Rehabilitation",2210-4925,Sage,,40%,Gold
Journal of Otolaryngology-Head & Neck Surgery,1916-0216,Sage,,None,Gold
Journal of Pacific Rim Psychology,1834-4909,Sage,,None,Gold
Journal of Patient Experience,2374-3743,Sage,,40%,Gold
Journal of Pharmacology and Pharmacotherapeutics,0976-5018,Sage,,None,Gold
Journal of Politics in Latin America,1868-4890,Sage,,None,Gold
Journal of Primary Care & Community Health,2150-1327,Sage,,40%,Gold
Journal of Psychosexual Health,2631-8326,Sage,,None,Gold
Journal of Public Health Research,2279-9036,Sage,,40%,Gold
Journal of Rehabilitation and Assistive Technologies Engineering,2055-6683,Sage,,40%,Gold
Journal of Shoulder and Elbow Arthroplasty,2471-5492,Sage,,40%,Gold
Journal of the International Association of Providers of AIDS Care,2325-9582,Sage,,40%,Gold
Journal of the Palaeontological Society of India,2753-7269,Sage,,None,Gold
Journal of Tissue Engineering,2041-7314,Sage,,40%,Gold
JRSM Cardiovascular Disease,2048-0040,Sage,,40%,Gold
JRSM Open,2042-5333,Sage,,40%,Gold
MDM Policy & Practice,2381-4683,Sage,,40%,Gold
Measurement and Control,2051-8730,Sage,,40%,Gold
Methodological Innovations,2059-7991,Sage,,40%,Gold
Molecular Pain,1744-8069,Sage,,40%,Gold
"Multiple Sclerosis Journal: Experimental, Translational and Clinical",2055-2173,Sage,,40%,Gold
Music & Science,2059-2043,Sage,,40%,Gold
Natural Product Communications,1555-9475,Sage,,40%,Gold
Neurodiversity,2754-6330,Sage,,None,Gold
Neuroscience Insights,1474-7049,Sage,,40%,Gold
NMIMS Management Review,0971-1023,Sage,,None,Gold
Nordic Journal of Nursing Research,2057-1593,Sage,,None,Gold
Nordic Studies on Alcohol and Drugs,1458-6126,Sage,,None,Gold
Nutrition and Metabolic Insights,1178-6388,Sage,,40%,Gold
Organization Theory,2631-7877,Sage,,None,Gold
Orthopaedic Journal of Sports Medicine,2325-9671,Sage,,40%,Gold
Palliative Care & Social Practice,1178-2242,Sage,,40%,Gold
Paramedicine,2753-6386,Sage,,None,Gold
Personality Science,2700-0710,Sage,,None,Gold
Pharmacognosy Magazine,0976-4062,Sage,,None,Gold
Plasmatology,2634-8535,Sage,,None,Gold
Platforms & Society,2976-8624,Sage,,40%,Gold
Polymers and Polymer Composites,1478-2391,Sage,,40%,Gold
Power and Education,1757-7438,Sage,,None,Gold
Proceedings of Singapore Healthcare,2059-2329,Sage,,None,Gold
Progress in Reaction Kinetics and Mechanism,1471-406X,Sage,,40%,Gold
Rare Tumors,2036-3613,Sage,,40%,Gold
Renewable Energies,2753-3735,Sage,,40%,Gold
Research and Politics,2053-1680,Sage,,40%,Gold
Research Ethics,2047-6094,Sage,,None,Gold
Revista Internacional de Educacion Musical,2307-4841,Sage,,None,Gold
SAGE Open,2158-2440,Sage,,40%,Gold
SAGE Open Long Form,2158-2440,Sage,,40%,Gold
SAGE Open Medical Case Reports,2051-313X,Sage,,40%,Gold
SAGE Open Medicine,2050-3121,Sage,,40%,Gold
SAGE Open Nursing,2377-9608,Sage,,40%,Gold
Scandinavian Journal of Surgery,1799-7267,Sage,,40%,Gold
"Scars, Burns & Healing",2059-5131,Sage,,40%,Gold
Science Progress,2047-7163,Sage,,40%,Gold
Social Media & Society,2056-3051,Sage,,40%,Gold
Socius,2378-0231,Sage,,40%,Gold
SOMCR: JCMS CR,2051-313X,Sage,,40%,Gold
Substance Abuse: Research and Treatment,1178-2218,Sage,,40%,Gold
Technology in Cancer Research & Treatment,1533-0338,Sage,,40%,Gold
The Journal of Medicine Access,2755-0834,Sage,,None,Gold
Therapeutic Advances in Allergy and Rhinology,2753-4030,Sage,,40%,Gold
Therapeutic Advances in Cardiovascular Disease,1753-9455,Sage,,40%,Gold
Therapeutic Advances in Chronic Disease,2040-6231,Sage,,40%,Gold
Therapeutic Advances in Drug Safety,2042-0994,Sage,,40%,Gold
Therapeutic Advances in Endocrinology and Metabolism,2042-0196,Sage,,40%,Gold
Therapeutic Advances in Gastroenterology,1756-2848,Sage,,40%,Gold
Therapeutic Advances in Gastrointestinal Endoscopy,2631-7745,Sage,,40%,Gold
Therapeutic Advances in Hematology,2040-6215,Sage,,40%,Gold
Therapeutic Advances in Infectious Disease,2049-937X,Sage,,40%,Gold
Therapeutic Advances in Medical Oncology,1758-8359,Sage,,40%,Gold
Therapeutic Advances in Musculoskeletal Disease,1759-7218,Sage,,40%,Gold
Therapeutic Advances in Neurological Disorders,1756-2864,Sage,,40%,Gold
Therapeutic Advances in Ophthalmology,2515-8414,Sage,,40%,Gold
Therapeutic Advances in Psychopharmacology,2045-1261,Sage,,40%,Gold
Therapeutic Advances in Pulmonary and Critical Care Medicine,2976-8675,Sage,,40%,Gold
Therapeutic Advances in Rare Disease,2633-0040,Sage,,None,Gold
Therapeutic Advances in Reproductive Health,1179-5581,Sage,,40%,Gold
Therapeutic Advances in Respiratory Disease,1753-4666,Sage,,40%,Gold
Therapeutic Advances in Urology,1756-2880,Sage,,40%,Gold
Therapeutic Advances in Vaccines and Immunotherapy,2515-1363,Sage,,None,Gold
Tobacco Use Insights,1179-173X,Sage,,40%,Gold
"Traumaxilla, The",2632-3281,Sage,,None,Gold
Trends in Hearing,2331-2165,Sage,,40%,Gold
Tropical Conservation Science,1940-0829,Sage,,40%,Gold
Video Journal of Sports Medicine,2635-0254,Sage,,40%,Gold
